occurrence_id,context_id,selected_word,source_file,sentence_index,match_index_in_sentence,target_text,target_start,target_end,previous_sentence,sentence_text,next_sentence,context,context_word_count,cluster_id,x,y,distance_to_centroid,inferred_theme
3205,A10821:9143,trade,A10821.txt,9143,1,Trade,581,586,"otherwise Trade will insensibly flie from them, the Merchants will give it over, or finde out new pathes, and divert it into some other place, shipping will in an age rot and perish, and Navigation will quickly be forgotten, and those King∣domes must have other Nations to supply them at the second hand, and by strangers shipping, with those necessary commodities which the Country stands in need of, and the same both at deare rates, and to the too late","repentance of the State it selfe, as may now bee verified by this of Venetia, who would with many millions redeeme that lost Trade, and would with free liberty of Customes entertaine that Commerce, which they themselves peradventure by their too great Customes and Imposts levied thereon by little and little in times past have of their owne accord wilfully or willingly lost, and thrust from them, as I shall declare further in the Trade of Leghorne, and other places","which have of themselves no commodity to main∣taine a Traffique, vet have all things and want nothing that all other Countries can afford, onely by the benefit and commodity of an easie and light dutie of custome imposed upon Merchandise by the li∣bertie and freedome of the place and traders thereinto;","otherwise Trade will insensibly flie from them, the Merchants will give it over, or finde out new pathes, and divert it into some other place, shipping will in an age rot and perish, and Navigation will quickly be forgotten, and those King∣domes must have other Nations to supply them at the second hand, and by strangers shipping, with those necessary commodities which the Country stands in need of, and the same both at deare rates, and to the too late repentance of the State it selfe, as may now bee verified by this of Venetia, who would with many millions redeeme that lost Trade, and would with free liberty of Customes entertaine that Commerce, which they themselves peradventure by their too great Customes and Imposts levied thereon by little and little in times past have of their owne accord wilfully or willingly lost, and thrust from them, as I shall declare further in the Trade of Leghorne, and other places which have of themselves no commodity to main∣taine a Traffique, vet have all things and want nothing that all other Countries can afford, onely by the benefit and commodity of an easie and light dutie of custome imposed upon Merchandise by the li∣bertie and freedome of the place and traders thereinto;",211,0,-4.5907187,0.34622836,1.3451694,commercial_exchange
3206,A10821:9143,trade,A10821.txt,9143,2,Trade,889,894,"otherwise Trade will insensibly flie from them, the Merchants will give it over, or finde out new pathes, and divert it into some other place, shipping will in an age rot and perish, and Navigation will quickly be forgotten, and those King∣domes must have other Nations to supply them at the second hand, and by strangers shipping, with those necessary commodities which the Country stands in need of, and the same both at deare rates, and to the too late","repentance of the State it selfe, as may now bee verified by this of Venetia, who would with many millions redeeme that lost Trade, and would with free liberty of Customes entertaine that Commerce, which they themselves peradventure by their too great Customes and Imposts levied thereon by little and little in times past have of their owne accord wilfully or willingly lost, and thrust from them, as I shall declare further in the Trade of Leghorne, and other places","which have of themselves no commodity to main∣taine a Traffique, vet have all things and want nothing that all other Countries can afford, onely by the benefit and commodity of an easie and light dutie of custome imposed upon Merchandise by the li∣bertie and freedome of the place and traders thereinto;","otherwise Trade will insensibly flie from them, the Merchants will give it over, or finde out new pathes, and divert it into some other place, shipping will in an age rot and perish, and Navigation will quickly be forgotten, and those King∣domes must have other Nations to supply them at the second hand, and by strangers shipping, with those necessary commodities which the Country stands in need of, and the same both at deare rates, and to the too late repentance of the State it selfe, as may now bee verified by this of Venetia, who would with many millions redeeme that lost Trade, and would with free liberty of Customes entertaine that Commerce, which they themselves peradventure by their too great Customes and Imposts levied thereon by little and little in times past have of their owne accord wilfully or willingly lost, and thrust from them, as I shall declare further in the Trade of Leghorne, and other places which have of themselves no commodity to main∣taine a Traffique, vet have all things and want nothing that all other Countries can afford, onely by the benefit and commodity of an easie and light dutie of custome imposed upon Merchandise by the li∣bertie and freedome of the place and traders thereinto;",211,0,-4.5907187,0.34622836,1.3451694,commercial_exchange
2176,A10231(1):14627,trade,A10231(1).txt,14627,3,trade,763,768,diggs his book be we able only with these nautic long arm to reach the world remote part but at home also be more dreadful to all dare attempter where to the navy royal such be adjoin the ship of the society continual increase and be able to furnish a puissant armada of themselves which but few if a few foreign of ship royal can equal I add that in the present estate of thing l l 9 defect of,other trade necessity may be allege for a virtue for do we not see want of trade the merchant want traffic and consequent the mariner employment while Barbary be many year together tread under foot by barbarous civil uncivil war the strait bring into strait by looseness and abundance of turkish robber and christian unchristian rover the Spaniard and Portugal forbid trade to both the indies the russian war bereave we of russian ware shall I add division of our,merchant at home or shall I not rather m m 10.,diggs his book be we able only with these nautic long arm to reach the world remote part but at home also be more dreadful to all dare attempter where to the navy royal such be adjoin the ship of the society continual increase and be able to furnish a puissant armada of themselves which but few if a few foreign of ship royal can equal I add that in the present estate of thing l l 9 defect of other trade necessity may be allege for a virtue for do we not see want of trade the merchant want traffic and consequent the mariner employment while Barbary be many year together tread under foot by barbarous civil uncivil war the strait bring into strait by looseness and abundance of turkish robber and christian unchristian rover the Spaniard and Portugal forbid trade to both the indies the russian war bereave we of russian ware shall I add division of our merchant at home or shall I not rather m m 10.,171,0,-4.5048256,0.47580823,1.3951237,commercial_exchange
6220,A71306:7534,trade,A71306.txt,7534,1,trade,812,817,for have so free expose their life in the conservation of the welfare of new France for du Pont hau^ng but one bark and a shallop to seek out towards Newfoundland for french ship can not charge himself with so much furniture corn meat and merchandise as be there which he have be force to cast into the sea and which have be great to our prejudice and we do fear it very much if these two man have not,adventure themselves to tarry there for the preserve of those thing which they do with a willing and joyful mind the Friday next day after our arrival de poutrincourt affect to this enterprise the till of the ground as for himself put part of his people to work in the tillage and manure of the ground while the other be employ in make clean of the chamber and every one to make ready that which belong to his trade in,the mean time those people of we that have leave the meeting with du Pont.,for have so free expose their life in the conservation of the welfare of new France for du Pont hau^ng but one bark and a shallop to seek out towards Newfoundland for french ship can not charge himself with so much furniture corn meat and merchandise as be there which he have be force to cast into the sea and which have be great to our prejudice and we do fear it very much if these two man have not adventure themselves to tarry there for the preserve of those thing which they do with a willing and joyful mind the Friday next day after our arrival de poutrincourt affect to this enterprise the till of the ground as for himself put part of his people to work in the tillage and manure of the ground while the other be employ in make clean of the chamber and every one to make ready that which belong to his trade in the mean time those people of we that have leave the meeting with du Pont.,175,0,-5.2095385,0.3449764,1.4049135,commercial_exchange
6371,A71306:11578,trade,A71306.txt,11578,1,trade,751,756,remote place not far from the same which one of our man walk forth occasional espy whereupon on the sudden neither it nor they can be find and so many time after upon conceive occasion they will be all go bag and baggage but be afterward by tisquantum mean better persuade they leave their jealousy and trade with they where they get eight hogshead of corn and beanes though the people be but few this give our governor and the,company good encouragement be still confident in the passage and the inhabitant affirm they have see ship of good burden pass within the shoal aforesaid but here though they have determine to make a second assay yet God have otherways dispose who strike with sickness in so much as he there die which cross their southward trade and the more because the master sufficiency be much doubt and the season very tempestuous and not fit to go upon discovery have,no guide to direct they from thence they depart and the wind be fair for the Massachusets go thither and the rather because the savage upon our motion have plant much corn for we which they promise not long before that time when they come thither they find a great sickness to be among the indian not unlike the plague if not the same they renew their complaint to our a plague governor against that other plantation seat by they,remote place not far from the same which one of our man walk forth occasional espy whereupon on the sudden neither it nor they can be find and so many time after upon conceive occasion they will be all go bag and baggage but be afterward by tisquantum mean better persuade they leave their jealousy and trade with they where they get eight hogshead of corn and beanes though the people be but few this give our governor and the company good encouragement be still confident in the passage and the inhabitant affirm they have see ship of good burden pass within the shoal aforesaid but here though they have determine to make a second assay yet God have otherways dispose who strike with sickness in so much as he there die which cross their southward trade and the more because the master sufficiency be much doubt and the season very tempestuous and not fit to go upon discovery have no guide to direct they from thence they depart and the wind be fair for the Massachusets go thither and the rather because the savage upon our motion have plant much corn for we which they promise not long before that time when they come thither they find a great sickness to be among the indian not unlike the plague if not the same they renew their complaint to our a plague governor against that other plantation seat by they,240,0,-5.294377,0.33392683,1.4108841,commercial_exchange
5033,A68617:10017,trade,A68617.txt,10017,1,trade,500,505,not manure the ground and therefore have no rice the sixteenth we depart shape our course for the i will Zeilon for we be in great distress especial of Rice December the six by God great goodness we take a ship of Negapatan which be a city in the coast of Coromandell she be lade with rise find to Achien there be in she threescore person of Achien of java of Zeilon of pegu Narsinga and coromandel by these people,we learn that in Zeilan there be a city name * * Matecalon in Zeilan a city of great trade Matecalon a place of great trade and that there we may load our ship with cinnamon pepper and clove they also say that in Zeilon be great store of precious stone and pearl that the country do abound with all kind of victual and that the king be a exceed enemy to the portugal they also tell we of a,city name trinquanamale where be the like trade so they promise to lade our ship and royal to victual we for little money hereupon we labour by all possible mean to recover the say place but can not for the wind be exceed contrary then these indian tell we that if we will stay until january we shall have more than a hundred ship come close by that shore lade with spicery linnen-cloth and China commodity beside stone and other,not manure the ground and therefore have no rice the sixteenth we depart shape our course for the i will Zeilon for we be in great distress especial of Rice December the six by God great goodness we take a ship of Negapatan which be a city in the coast of Coromandell she be lade with rise find to Achien there be in she threescore person of Achien of java of Zeilon of pegu Narsinga and coromandel by these people we learn that in Zeilan there be a city name * * Matecalon in Zeilan a city of great trade Matecalon a place of great trade and that there we may load our ship with cinnamon pepper and clove they also say that in Zeilon be great store of precious stone and pearl that the country do abound with all kind of victual and that the king be a exceed enemy to the portugal they also tell we of a city name trinquanamale where be the like trade so they promise to lade our ship and royal to victual we for little money hereupon we labour by all possible mean to recover the say place but can not for the wind be exceed contrary then these indian tell we that if we will stay until january we shall have more than a hundred ship come close by that shore lade with spicery linnen-cloth and China commodity beside stone and other,240,0,-5.375633,0.7463647,1.4166465,commercial_exchange
5034,A68617:10017,trade,A68617.txt,10017,2,trade,533,538,not manure the ground and therefore have no rice the sixteenth we depart shape our course for the i will Zeilon for we be in great distress especial of Rice December the six by God great goodness we take a ship of Negapatan which be a city in the coast of Coromandell she be lade with rise find to Achien there be in she threescore person of Achien of java of Zeilon of pegu Narsinga and coromandel by these people,we learn that in Zeilan there be a city name * * Matecalon in Zeilan a city of great trade Matecalon a place of great trade and that there we may load our ship with cinnamon pepper and clove they also say that in Zeilon be great store of precious stone and pearl that the country do abound with all kind of victual and that the king be a exceed enemy to the portugal they also tell we of a,city name trinquanamale where be the like trade so they promise to lade our ship and royal to victual we for little money hereupon we labour by all possible mean to recover the say place but can not for the wind be exceed contrary then these indian tell we that if we will stay until january we shall have more than a hundred ship come close by that shore lade with spicery linnen-cloth and China commodity beside stone and other,not manure the ground and therefore have no rice the sixteenth we depart shape our course for the i will Zeilon for we be in great distress especial of Rice December the six by God great goodness we take a ship of Negapatan which be a city in the coast of Coromandell she be lade with rise find to Achien there be in she threescore person of Achien of java of Zeilon of pegu Narsinga and coromandel by these people we learn that in Zeilan there be a city name * * Matecalon in Zeilan a city of great trade Matecalon a place of great trade and that there we may load our ship with cinnamon pepper and clove they also say that in Zeilon be great store of precious stone and pearl that the country do abound with all kind of victual and that the king be a exceed enemy to the portugal they also tell we of a city name trinquanamale where be the like trade so they promise to lade our ship and royal to victual we for little money hereupon we labour by all possible mean to recover the say place but can not for the wind be exceed contrary then these indian tell we that if we will stay until january we shall have more than a hundred ship come close by that shore lade with spicery linnen-cloth and China commodity beside stone and other,240,0,-5.375633,0.7463647,1.4166465,commercial_exchange
2200,A10231(1):15384,trade,A10231(1).txt,15384,2,trade,634,639,we have hear how by the portugal work the english trade be disannul in the mogul dominion captain Hawkins despair of any good that way and leave the country the jesuit have close wrought mocrab Chan against he with other great man and one of they Pinnerus be employ in public embassage betwixt the viceroy of goa and the mogul to the same effect the portugal allege the league be break because the english be entertain neither can the mogul,easy lose their friendship because they be then master at sea and can have hinder he and he from all marine trade Andrea Hurtadus de Mendosa the viceroy have forbid the merchant their cambayan trade and already hostility have begin on both side both cease with the departure of the english sir Henry Middleton come to surrat after his red-sea-disaster in expectation of trade but find nothing but dissemble so that after much loss of time he be drive with,his ship to seek new adventure to repair the loss which by turkish treachery and the mogul inconstancy and falsehood he have sustain hereupon he return to the straight of aden an.,we have hear how by the portugal work the english trade be disannul in the mogul dominion captain Hawkins despair of any good that way and leave the country the jesuit have close wrought mocrab Chan against he with other great man and one of they Pinnerus be employ in public embassage betwixt the viceroy of goa and the mogul to the same effect the portugal allege the league be break because the english be entertain neither can the mogul easy lose their friendship because they be then master at sea and can have hinder he and he from all marine trade Andrea Hurtadus de Mendosa the viceroy have forbid the merchant their cambayan trade and already hostility have begin on both side both cease with the departure of the english sir Henry Middleton come to surrat after his red-sea-disaster in expectation of trade but find nothing but dissemble so that after much loss of time he be drive with his ship to seek new adventure to repair the loss which by turkish treachery and the mogul inconstancy and falsehood he have sustain hereupon he return to the straight of aden an.,192,0,-5.2037287,0.53305894,1.4723924,commercial_exchange
3437,A10821:12058,trade,A10821.txt,12058,1,trade,208,213,T HE excellent commoditie of the great Rivers Of the trade in generall of Moscovia.,"that in all places of this large Empire are found to water and enrich this Countrey, should much in∣cite this nation to the trade of Merchandise;","but it is often found, that where nature is most liberall in her furtherances, the inhabitants prove most backward in their endevours;","T HE excellent commoditie of the great Rivers Of the trade in generall of Moscovia. that in all places of this large Empire are found to water and enrich this Countrey, should much in∣cite this nation to the trade of Merchandise; but it is often found, that where nature is most liberall in her furtherances, the inhabitants prove most backward in their endevours;",63,1,1.9654932,2.8142793,3.4080215,commercial_exchange
227,A02495:10348,trade,A02495.txt,10348,1,trade,106,111,For such things haue often times happened in this countrey.,"Also to write vnto your Lordshippe of the new trade of Spicery of the Emperour, there is no doubt but that the Islands are fertile of Cloues, Nutmegs, Mace, and Cinnamom:","and that the said Islands, with other there about, abound with golde, Rubies, Diamondes, Balasses, Granates, Iacinets, and other stones and pearles, as all other lands, that are vnder and neere the Equinoctiall.","For such things haue often times happened in this countrey. Also to write vnto your Lordshippe of the new trade of Spicery of the Emperour, there is no doubt but that the Islands are fertile of Cloues, Nutmegs, Mace, and Cinnamom: and that the said Islands, with other there about, abound with golde, Rubies, Diamondes, Balasses, Granates, Iacinets, and other stones and pearles, as all other lands, that are vnder and neere the Equinoctiall.",74,1,1.5630372,3.1952922,3.478924,commercial_exchange
