feature,coefficient,direction
east,-0.909832581571246,commercial_exchange
great,-0.8196128165431502,commercial_exchange
coast,-0.7954817759834377,commercial_exchange
come,-0.7786455947708504,commercial_exchange
indies,-0.7354861793534627,commercial_exchange
english,-0.6346285795386327,commercial_exchange
cloth,-0.6178413793456209,commercial_exchange
sent,-0.6139113338407206,commercial_exchange
free,-0.5952116200315845,commercial_exchange
captain,-0.5913033301269862,commercial_exchange
sorts,-0.5666453346039988,commercial_exchange
places,-0.5546452478077104,commercial_exchange
called,-0.5338776777155142,commercial_exchange
sir,-0.4970415700462018,commercial_exchange
giuen,-0.4878001578053633,commercial_exchange
thing,0.4798094876021818,occupation_or_craft
young,0.48579663398019723,occupation_or_craft
state,0.48666321178134786,occupation_or_craft
euery,0.48712518441781655,occupation_or_craft
service,0.49458922948587863,occupation_or_craft
fez,0.5093106757989054,occupation_or_craft
master,0.5106926679689973,occupation_or_craft
bound,0.5212922352578734,occupation_or_craft
thousand,0.5227370760727078,occupation_or_craft
ordinary,0.5375952460621469,occupation_or_craft
teach,0.6708632928532959,occupation_or_craft
man,0.7111853538983945,occupation_or_craft
haue,0.7301589152051454,occupation_or_craft
people,0.7627972473905845,occupation_or_craft
like,0.8665701969166831,occupation_or_craft
